Facility Name,Physical Address,City,Latitude,Longitude,Geocode_Status
Alldays Pharmacy,14099 Cnr 10th Avenue/JMN Street,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Allergy Pharmacy,113 Kwame Nkrumah Avenue,Harare,-17.8265372,31.0546667,Exact / Approximate
Alleviate Pharmacy,18 Aerodrome Road,Mutare,-18.9692541,32.6647674,Exact / Approximate
Alliance Pharmacy,97 R.G Mugabe Way,Zvishavane,-20.3159097,30.0526888,Exact / Approximate
Alliemed Pharmacy,22296 Kuwadzana 2,Harare,-17.8567035,31.0601584,Exact / Approximate
Allies Pharmacy,Esihlengweni Suite 387 Josiah Tongogara Ave & 9th Ave,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Allymac Pharmacy,Shop 1 Stand 14043 Brundish Shopping Centre,Chinhoyi,-17.3615308,30.1929353,Exact / Approximate
Almond Pharmacy,Number 146 Chinhoyi Street,Harare,-17.8296751,31.0430269,Exact / Approximate
Alowell Avondale Pharmacy,14A King George RoadAvondale,Harare,-17.8567035,31.0601584,Exact / Approximate
Alowell Pharmacy,"Std Number 18010, 30 Chiremba RoadHillside",Harare,-17.8567035,31.0601584,Exact / Approximate
Alowell Pharmacy,585 Isaac CornerSam Levy,Harare,-17.8567035,31.0601584,Exact / Approximate
Alowell Pharmacy,46 Connet Rise Bond StreetMt Pleasant,Harare,-17.8567035,31.0601584,Exact / Approximate
Alowell Pharmacy - Masvingo,39-41 Cnr J. Tongogara & S. Muzenda,Masvingo,-20.7453957,31.334138,Exact / Approximate
Alowell Pharmacy-Glenview,Stand No12279 MakomvaGlenview 8,Harare,-17.8567035,31.0601584,Exact / Approximate
Alpha Medical Centre,61232 Gwatidzo StreetMbare,Harare,-17.8567035,31.0601584,Exact / Approximate
Alpha Medical Clinic Pvt Ltd,55 4th Street,Mutare,-18.974656,32.670473,Exact / Approximate
Alphamed Pharmacy,Stand 5932 Angelbecks Plot Mbare,Harare,-17.8567035,31.0601584,Exact / Approximate
Alpom Pharmacy,8989 Spitzkop Business Centre,Gwanda,-20.9414292,29.0036855,Exact / Approximate
Alps Dental,33 Teviotdale RoadVainona,Harare,-17.8567035,31.0601584,Exact / Approximate
Alro Transport Industrial Clinic,No. 18418/9Mukuvisi Office Park,Harare,-17.8567035,31.0601584,Exact / Approximate
AM Surgery,17328 Ngoni,Norton,-17.87454,30.695954,Exact / Approximate
Amason Dental - Hillside Dental Surgery,183 Chiremba RoadBJ Southgate MallBraeside,Harare,-17.8567035,31.0601584,Exact / Approximate
Amason Dental- Cleveland Dental Surgery,Cleveland Medical Centre24 Cleveland RoadMilton Park,Harare,-17.8567035,31.0601584,Exact / Approximate
Amason Dental Ngezi,Stand Number 905 Turf GP,Ngezi,-18.719279,30.2610669,Exact / Approximate
Amason Dental Surgery,167 Chinhoyi Street,Harare,-17.8296751,31.0430269,Exact / Approximate
Amason Dental Turf Dental Surgery,"5517 Turf, Ngezi",Mhondoro,-17.8018476,30.9250185,Exact / Approximate
Amaveni Clinic,Amaveni Township,Kwekwe,-18.9284366,29.8140035,Exact / Approximate
Amazing Grace Surgery,Number 4 First StreetParadise,Marondera,-18.190098,31.545542,Exact / Approximate
Amen Health for Women Clinic - Harare,104 Prince Edward StreetMilton Park,Harare,-17.8567035,31.0601584,Exact / Approximate
Amit-Care Radiology,127 Mbuya Nehanda,Harare,-17.8363868,31.0423936,Exact / Approximate
Ampath Medical Laboratories,3A Mupani RdOld Marimba,Harare,-17.8567035,31.0601584,Exact / Approximate
AMS Medical Laboratories,Shop 5Block CCIPF Complex,Ruwa,-17.897155,31.237093,Exact / Approximate
Amstes Surgery,2854 Dulibadzimu,Beitbridge,-22.1986233,29.9917535,Exact / Approximate
Anchor Distributors,104 McChelry AvenueEastlea,Harare,-17.8567035,31.0601584,Exact / Approximate
Anderen Health Surgery,53 Simon Muzenda Street,Masvingo,-20.7453957,31.334138,Exact / Approximate
Andylee Medicals - Rimbi Surgery,Rimbi Business Centre,Chipinge,-20.5478149,32.39323,Exact / Approximate
Angel Pharmacy,96/97 Main Street,Chipinge,-20.1795538,32.6138196,Exact / Approximate
Anglican Wabvuwi Memorial Clinic,Ward 16 St Clares Mission,Murewa,-17.646074,31.777541,Exact / Approximate
Angwa Dental Surgery,"No. 6 George Silundika, Angwa House",Harare,-17.8567035,31.0601584,Exact / Approximate
Anjin Industrial Clinic,Nechirasika VillageChiadzwa,Mutare,-18.974656,32.670473,Exact / Approximate
Annegold Healthcare,8 Luciano Court,Chinhoyi,-17.3615308,30.1929353,Exact / Approximate
Anosimudza Psychological Services,"4 Cuba Road, Venus HealthcareMt Pleasant",Harare,-17.8567035,31.0601584,Exact / Approximate
Apex 2 Surgery,199 Birchenough Bridge,Birchenough Bridge,-19.961975,32.3442521,Exact / Approximate
Apex 24 Emergency Rooms,14663 Damafalls Park 1 Ruwa,Harare,-17.8567035,31.0601584,Exact / Approximate
Apex 24 Pharmacy,14663 Damafalls,Harare,-17.8567035,31.0601584,Exact / Approximate
Apex Dental Services,58 6th Street,Gweru,-19.4560784,29.8166452,Exact / Approximate
Apex Dental Services,Stand Number 14663Phase 1Damofalls,Ruwa,-17.897155,31.237093,Exact / Approximate
Apex Medical Centre,"Stand 461 Moses Zuva Complex,",Shurugwi,-19.7542336,30.156915,Exact / Approximate
Apex Medical Laboratories,"1 Swiss Way, Harare Hospital Grounds",Harare,-17.8567035,31.0601584,Exact / Approximate
Apex Pharmacy,Shop 3 Elizabeth Mansions 65 6th Street,Gweru,-19.4616316,29.8205953,Exact / Approximate
Apex Pharmacy - Macheke,327 Nyazema Shops,Macheke,-18.1453784,31.8471437,Exact / Approximate
Apex Radiology,43 4th Street Winston Park,Marondera,-18.190098,31.545542,Exact / Approximate
Apoc Medical Clinic,"Shop Number 5 LongChen Plaza, Cnr Samora & Mutley BendBelvedere",Harare,-17.8567035,31.0601584,Exact / Approximate
Apotheca Pharmacy - Willowvale,"Bay 3 Mashwede Village Highglen, Stand 11310 Mashwede Mall",Harare,-17.8567035,31.0601584,Exact / Approximate
,,,-29.7727628,-51.1443828,Exact / Approximate
Apple Pharmacy,Shop G02Forestry Commissin Building71 Fife Street,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Aquamed Pharmacy,Shop 5Kingsmead House154 Mbuya Nehanda,Harare,-17.8567035,31.0601584,Exact / Approximate
Aravas Pharmaceuticals,4471 Prospect Industrial Area Waterfalls,Harare,-17.8567035,31.0601584,Exact / Approximate
Araya Physiotherapy,32Josiah Tongogara Avenue,Harare,-17.8567035,31.0601584,Exact / Approximate
Arc Pharmacy,19622/15Dube Complex Mbizo,Kwekwe,-18.9284366,29.8140035,Exact / Approximate
Arcade Pharmacy,Shop No. 4First Mutual Centre,Mutare,-18.974656,32.670473,Exact / Approximate
Arcadia Medical Centre,2A Bardia RoadArcadia,Harare,-17.8567035,31.0601584,Exact / Approximate
Arcadia Medical Centre Pharmacy,2Bardia RoadArcadia,Harare,-17.8567035,31.0601584,Exact / Approximate
Archmed Diagnostic Services,Corner 2nd and 3rd Street,Kwekwe,-18.9284366,29.8140035,Exact / Approximate
Arco-Iris Family Clinic,"12 Volendam Court, Corner Harare Street & Tongogara",Harare,-17.8567035,31.0601584,Exact / Approximate
Arcturus Mine Clinic,P.Box 14ArcturusGreendale,Harare,-17.8567035,31.0601584,Exact / Approximate
Arda Medical Centre,Stand Number 1985,Sanyati,-18.3055783,29.4852184,Exact / Approximate
Ardbennie Dental Surgery,1561 Fairview RoadMbare,Harare,-17.8567035,31.0601584,Exact / Approximate
Ardbennie Medical Centre,1st Floor Karigamudungwe Building1561 Finnerman RoadArdbennie,Harare,-17.8567035,31.0601584,Exact / Approximate
Ardbennie Pharmacy,1 Boshoff DriveArdbennie,Harare,-17.8567035,31.0601584,Exact / Approximate
Ariedem Healthcare,1004 St Marys,Chitungwiza,-18.0143462,31.0726737,Exact / Approximate
Arimed Pharmacy,"20 Ndongwe Road, Old Tafara Shops",Harare,-17.8567035,31.0601584,Exact / Approximate
Arimed Pharmacy,"Stand 40381, MCH Fuels Complex",Harare,-17.8567035,31.0601584,Exact / Approximate
ARM Heyes Optometrist (PVT) LTD,No. 2 ZB House First Street Cnr Speke Avenue,Harare,-17.8567035,31.0601584,Exact / Approximate
ARM Heyes Optometrist (PVT) LTD - ZB House,96 Fife Avenue Cnr Sam Nujoma Street,Harare,-17.8567035,31.0601584,Exact / Approximate
Arundel Hospital Radiology,92Northfolk Road,Harare,-17.8567035,31.0601584,Exact / Approximate
Arundel Village Pharmacy,Shop 13&14Arundel Shopping CentreQuorn Avenue,Harare,-17.8567035,31.0601584,Exact / Approximate
Asamed PVT LTD T/A One Stop Pharmacy,Shop Number 6Lapf CentreCorner Jason moyo/Chinhoyi Street,Harare,-17.8567035,31.0601584,Exact / Approximate
Asca Health Care Pvt Ltd,Unit 1 finance Hse60,Harare,-17.8567035,31.0601584,Exact / Approximate
Asclepius Pharmacy,212 WillowcreekGoodhope,Harare,-17.8567035,31.0601584,Exact / Approximate
Ascot Pharmacy,Shop 27 Ascot Shopping Centre,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Asdepius Medical Centre T/A Goodhope 24HR,212 WillowcreekGoodhope,Harare,-17.8567035,31.0601584,Exact / Approximate
Ashbrittle Pharmacy,"44 Golden Stairs, Emerald Hill, Harare",Harare,-17.8567035,31.0601584,Exact / Approximate
Asher Pharmacy,5551Budiriro 4 ShopsBudiriro,Harare,-17.8567035,31.0601584,Exact / Approximate
Ashvee Dental Surgery,1058,Beitbridge,-22.1986233,29.9917535,Exact / Approximate
Aspindale Dental Clinic,3AMupani RoadOld Marimba,Harare,-17.8567035,31.0601584,Exact / Approximate
Aspired Healthcare Family Practice,135 Kwame Nkrumah,Harare,-17.829459,31.0425146,Exact / Approximate
Assisthealth Pharmacy,26606 Budiriro 2 TownshipShop 4,Harare,-17.8567035,31.0601584,Exact / Approximate
Asteroid Health,Flat 8 Kennedy CourtChimoi Street,Rusape,-18.5334765,32.1256769,Exact / Approximate
Asthma Allergy and Immunology Clinic,3770 Malindela,Bulawayo,-20.1835316,28.6001615,Exact / Approximate
Astra Industrial Clinic,14 Burnely Road Workington,Harare,-17.8567035,31.0601584,Exact / Approximate
Astra Paints Clinic,6272 Donnington,Bulawayo,-20.1853541,28.5580488,Exact / Approximate
Astra Pharmacy Nyanga,318Nyamhuka 1 Shops,Nyanga,-17.9176328,32.7898145,Exact / Approximate
Astrid Ambulances,17A 2nd Avenue &Fife Avenue,Bulawayo,-20.1560599,28.5887063,Exact / Approximate
Athlone Family Clinic,85 Greengrove DriveGreendale,Harare,-17.8567035,31.0601584,Exact / Approximate
Athol Evans Nursing Home,P.O Box CR70Cranbourne,Harare,-17.8567035,31.0601584,Exact / Approximate
Athol Evans Nursing Home,117AChiremba RoadCranborne,Harare,-17.8567035,31.0601584,Exact / Approximate
Atidacheryl Investments T/A ACI Medical Centre,1009 1st StreetHatcliffe,Harare,-17.8567035,31.0601584,Exact / Approximate
Atlaspharm Pharmacy,"Number 1, 1st AvenueMabelreign",Harare,-17.8567035,31.0601584,Exact / Approximate
Attellus Laboratory,1146Town Centre,Norton,-17.87454,30.695954,Exact / Approximate
Audiomax (2010) PVT LTD,Number 14656 Hadzinanhanga RoadZengeza 4,Chitungwiza,-18.0143462,31.0726737,Exact / Approximate
Audiomax 2010 Mutare Medical Centre,Suite 173rd FloorH.Chitepo Street,Mutare,-18.974656,32.670473,Exact / Approximate
Audiomax Clinic,93 Baines Avenue,Harare,-17.8179265,31.0533833,Exact / Approximate
Audiomax Clinic - Dr. Sharai Shamu,93 Baines Avenue,Harare,-17.8179265,31.0533833,Exact / Approximate
Audiomax2010(pvt)ltd,93Baines AvenueCorner 2nd and Baines Avenue,Harare,-17.8567035,31.0601584,Exact / Approximate
Audiovannah Audiology Clinic,1 Borrowdale LaneBorrowdale,Harare,-17.8567035,31.0601584,Exact / Approximate
Avail Medical Centre,2846 Northwood,Chivhu,-19.0187032,30.8969497,Exact / Approximate
Avail Medical Centre Radiology,2846 Northwood,Chivhu,-19.0187032,30.8969497,Exact / Approximate
Avante Clinic,Stand Number 4684Izayi Park,Zvishavane,-20.3159097,30.0526888,Exact / Approximate
Avaset Pharmacy,1587 Chiwaridzo,Bindura,-17.2989727,31.3299701,Exact / Approximate
Avatist Clinic-Chipinge,567 Gaza Township,Chipinge,-20.6177688,32.3786847,Exact / Approximate
Avenues Clinic Laboratory,139 Josiah Chinamano Avenue and Corner Fifth,Harare,-17.8567035,31.0601584,Exact / Approximate
Avenues Clinic Pharmacy-Chinamano,Shop 3 Chinamano CornerCnr 2nd Street & Chinamano Avenue,Harare,-17.8567035,31.0601584,Exact / Approximate
Avenues Eye Centre,9 Windermere Lodge Corner Mazowe Street / Fife Avenue,Harare,-17.8567035,31.0601584,Exact / Approximate
Avenues Women's Clinic - Dr Ngwaru Surgery,33 Central Avenue,Harare,-17.8243445,31.0525872,Exact / Approximate
Avicenna Medical Centre,127 Borrowdale RoadGunhill,Harare,-17.8567035,31.0601584,Exact / Approximate
Avicenna Physiotherapy Clinic,127 Ruth Taylor RoadGunhillBorrowdale,Harare,-17.8567035,31.0601584,Exact / Approximate
Avicenna Specialist Centre,125Borrowdale RoadGunhill,Harare,-17.8567035,31.0601584,Exact / Approximate
Avila Mission Hospital,Avila Mission HospitalP.Bag 2009,Nyanga,-17.9176328,32.7898145,Exact / Approximate
Avlone Pharmacy,7503 Muzimba Shopping CentreColdstream,Chinhoyi,-17.3615308,30.1929353,Exact / Approximate
Avmed Health Pharmacy,1085 7th Street,Chipinge,-20.6177688,32.3786847,Exact / Approximate
AvonBio Distributors,4 Dacoute Drive Avonlea,Harare,-17.8567035,31.0601584,Exact / Approximate
Avondale I Care (PVT) LTD,Shop 4 Avondale Shopping Centre,Harare,-17.8021697,31.0381457,Exact / Approximate
Avondale I Care (PVT) LTD,103 The Chase Mt Pleasant,Harare,-17.7729203,31.0564867,Exact / Approximate
Avondale Urgent Care - Dental Unit,11A Lincoln Avenue,Harare,-17.8567035,31.0601584,Exact / Approximate
Avondale Urgent Care Clinic,11A Linclon AvenueAvondale,Harare,-17.8567035,31.0601584,Exact / Approximate
Avonlea Dental Clinic,Shop 1 Colesbury ParadeAvonlea Shops,Harare,-17.8567035,31.0601584,Exact / Approximate
Ayrshire Mine Clinic,Ayrshire Mine,Banket,-17.3873576,30.392518,Exact / Approximate
Azanza Health,32 Josiah Tongogara AvenueMilton Park,Harare,-17.8567035,31.0601584,Exact / Approximate
Azanza Telehealth,32Josiah Tongogara,Harare,-17.8567035,31.0601584,Exact / Approximate
Azanza Telehealth X-ray Unit,32 Josiah Tongogara,Harare,-17.8145276,31.0538821,Exact / Approximate
Azanza Wellness Centre,32Josiah Tongogara Street Milton Park,Harare,-17.8567035,31.0601584,Exact / Approximate
B Braun Dialysis Clinic,57 Baines Avenue,Harare,-17.8179265,31.0533833,Exact / Approximate
B Braun Haemodialysis Centre,127A Fife Street,Bulawayo,-20.1574583,28.5839006,Exact / Approximate
B Braun Mutare Dialysis,Mutare Medical Centre123/5Herbert Chitepo Street,Mutare,-18.974656,32.670473,Exact / Approximate
