Facility Name,Physical Address,City,Latitude,Longitude
Attellus Laboratory,1146Town Centre,Norton,,
Audiomax (2010) PVT LTD,Number 14656 Hadzinanhanga RoadZengeza 4,Chitungwiza,,
Audiomax 2010 Mutare Medical Centre,Suite 173rd FloorH.Chitepo Street,Mutare,,
Audiomax Clinic,93 Baines Avenue,Harare,,
Audiomax Clinic - Dr. Sharai Shamu,93 Baines Avenue,Harare,,
Audiomax2010(pvt)ltd,93Baines AvenueCorner 2nd and Baines Avenue,Harare,,
Audiovannah Audiology Clinic,1 Borrowdale LaneBorrowdale,Harare,,
Avail Medical Centre,2846 Northwood,Chivhu,,
Avail Medical Centre Radiology,2846 Northwood,Chivhu,,
Avante Clinic,Stand Number 4684Izayi Park,Zvishavane,,
Avaset Pharmacy,1587 Chiwaridzo,Bindura,,
Avatist Clinic-Chipinge,567 Gaza Township,Chipinge,,
Avenues Clinic Laboratory,139 Josiah Chinamano Avenue and Corner Fifth,Harare,,
Avenues Clinic Pharmacy-Chinamano,Shop 3 Chinamano CornerCnr 2nd Street & Chinamano Avenue,Harare,,
Avenues Eye Centre,9 Windermere Lodge Corner Mazowe Street / Fife Avenue,Harare,,
Avenues Women's Clinic - Dr Ngwaru Surgery,33 Central Avenue,Harare,,
Avicenna Medical Centre,127 Borrowdale RoadGunhill,Harare,,
Avicenna Physiotherapy Clinic,127 Ruth Taylor RoadGunhillBorrowdale,Harare,,
Avicenna Specialist Centre,125Borrowdale RoadGunhill,Harare,,
Avila Mission Hospital,Avila Mission HospitalP.Bag 2009,Nyanga,,
Avlone Pharmacy,7503 Muzimba Shopping CentreColdstream,Chinhoyi,,
Avmed Health Pharmacy,1085 7th Street,Chipinge,,
AvonBio Distributors,4 Dacoute Drive Avonlea,Harare,,
Avondale I Care (PVT) LTD,Shop 4 Avondale Shopping Centre,Harare,,
Avondale I Care (PVT) LTD,103 The Chase Mt Pleasant,Harare,,
Avondale Urgent Care - Dental Unit,11A Lincoln Avenue,Harare,,
Avondale Urgent Care Clinic,11A Linclon AvenueAvondale,Harare,,
Avonlea Dental Clinic,Shop 1 Colesbury ParadeAvonlea Shops,Harare,,
Ayrshire Mine Clinic,Ayrshire Mine,Banket,,
Azanza Health,32 Josiah Tongogara AvenueMilton Park,Harare,,
Azanza Telehealth,32Josiah Tongogara,Harare,,
Azanza Telehealth X-ray Unit,32 Josiah Tongogara,Harare,,
Azanza Wellness Centre,32Josiah Tongogara Street Milton Park,Harare,,
B Braun Dialysis Clinic,57 Baines Avenue,Harare,,
B Braun Haemodialysis Centre,127A Fife Street,Bulawayo,,
B Braun Mutare Dialysis,Mutare Medical Centre123/5Herbert Chitepo Street,Mutare,,
B. Braun Chinhoyi Dialysis Unit,"Shop Number 3, 5336 David Guzuzu Street",Chinhoyi,,
B.A.V.Ncube Surgery,37R.Mugabe Way,Bulawayo,,
B.Braun Zimbabwe (PVT)LTD,32M&NBluffhill Industrial Park,Harare,,
B.R Pharmacy,118 Athol BuildingCorner 10th/fourth Street,Harare,,
Baines Avenue Clinic,66Baines Avenue,Harare,,
Baines Avenue Clinic T/A Mazowe Street Paediatric Hospital,Number 11 Mazowe Street,Harare,,
Baines Avenue Retail Pharmacy,66 Baines Avenue,Harare,,
Baines Dental Clinic,19 Baines Avenue Corner Blakiston,Harare,,
Baines Family and Travel Clinic,53 Baines Avenue,Harare,,
Baines Imaging Group,123 Herbert Chitepo,Mutare,,
Baines Imaging Group - Byo imaging,70 Robert Mugabe Way,Bulawayo,,
Baines Imaging Group - JV Avenues Clinic,Cnr Mazowe Street / Baines Avenue,Harare,,
Baines Imaging Group Medical Centre,52 Baines AvenueCnr Baines / Leopold Takawira,Harare,,
Baines Intercare Medical Centre,15 Baines Avenues,Harare,,
Baines Occupational Health Services,"Suite 1, Glendyne Court 12th Avenue & J Tongogara",Bulawayo,,
Baines Occupational Health Services,"Suite 1, 22A-7th Street",Gweru,,
Baines Occupational Health Services,"27 Baines Avenue, Suite 2 Dutton Court",Harare,,
Baines Pathology,52 Baines Avenue,Harare,,
Baines Pathology,52 Josiah Chinamano Avenues,Harare,,
Baines Pharmacy,"20 Mimosa Flats, 19 Baines Avenue",Harare,,
Baines Physio Clinic,26 Baines Avenue,Harare,,
Baines Specialist Children's Clinic,53 Baines Avenue,Harare,,
Ballantyne Park Pharmacy,"Shop 11, Ballantyne Park Square Wellburn Drive Borrowdale",Harare,,
Ballu Pharmacy,52Corner 4th Street and Dejager Avenue,Marondera,,
Ballu Pharmacy - Yellow City,2416 Nungu ExtensionChitepo,Marondera,,
Balm Medical Laboratories,3Elnat Building 5 J.Tongogara Road,Bulawayo,,
Balm of Gilead Dental Clinic,4 Elnat Flat 59 Josiah Tongogara,Bulawayo,,
Balm of Gilead Medical and Orthopaedic,4Elnat Flat59 Josiah Tongogara Corner 5th Avenue,Bulawayo,,
Balm of Gilead Medical Clinic,"2 Elnat Flat, 59 Josiah TongogaraCnr 5th Avenue & Tongogara",Bulawayo,,
Balm of Hope Maternity,21 Union Street,Kadoma,,
Balm of Hope Surgery,4742Light IndustryWaverly,Kadoma,,
Balm Pharmacy,"Number 3631 Masotsha Ndhlovu Way, Prospect",Harare,,
Balm Surgery,"Stand Number 5144, Warren Park D Shops",Harare,,
Balsam Pharmacy,Shop A 3207 Chiwororo Business Centre,Masvingo,,
Bambanani New Start Centre,4th FloorHaddon Sly Building8th Avenue,Bulawayo,,
Bambanani New Start Centre,90 Samuel Parirenyatwa Street,Bulawayo,,
Bandason C. Surgery,123 Baines Avenue,Harare,,
Bank Street Pharmacy,101 Chinhoyi Street,Harare,,
Banket District Hospital,Court Road,Banket,,
Banket Family Practice,232 Stations Road,Banket,,
Banket Kuwadzana Surgery,748Kuwadzana Township,Banket,,
Banket Medical Imaging- Xray Unit,232 Station Road,Banket,,
Banket RDC-Dzivarasekwa Extension Clinic,P.O.Box 5Dzivarasekwa,Harare,,
Banket-Mart Pharmacy,Shop No. 2 Stand No. 20Kuwadzana Shopping Centre,Banket,,
Baobab Surgery,1270Baobab North Extension,Hwange,,
Barbicol Pharmacy,294 ED Mnangagwa Road,Masvingo,,
Barbourfields Pharmacy,Shop 208Barbourfield Shopping Centre,Bulawayo,,
Barry Nell Pharmacy,264A Josiah Tongogara,Masvingo,,
Bata Shoe Company Clinic,Stand 512/522 Heavy Industrial SitesBulawayo Road,Gweru,,
Batsi Pharmacy,27473 Nyamauru Dangamvura,Mutare,,
Batsirai Medical Center,2058Maketa Herdes,Chegutu,,
Batsiranayi Healthcare Services,1178 Hintonville,Chegutu,,
BB & T Medical & Dental Surgeries,Kalmic House Corner Main Street / Appleby,Bindura,,
BC Dental Surgery-Bulawayo,Suite 115Medical Chambers 94-98 JNM Street,Bulawayo,,
Beacon Pharmacy,845 Mubairo Road,Harare,,
Beamed Primary Care Clinic,86 Kaguvi Street,Harare,,
Beatrice RDC-Acton Reynolds Rural Health Center,Acton Reynolds Resettlement AreaBox 88,Beatrice,,
Beatrice RDC-Ringa Rural Health Center,Ringa Resettlement AreaBox 141,Beatrice,,
Beautalin Health Dental Clinic,95 Marwede Road Glaudina,Harare,,
Beautalin Radiology,95Marwede Road Glaudina,Harare,,
Beautalin Radiology- Xray Unit,95 Marwede RoadGlaudina,Zvimba,,
Beersheba Mission Clinic,Beersheba Mission ClinicBox 354,Norton,,
Beit Border 24hr Pharmacy,4722CDulibadzimu Township,Beitbridge,,
Beit Pharmacy,1 Beit AvenueMilton Park,Harare,,
Beitbridge District Hospital,175Dulivhazimu,Beitbridge,,
Beitbridge Pharmacy,170 Dulibadzimu Township,Beitbridge,,
Beitbridge Pharmacy,2224 TshithaudzeMashavire,Beitbridge,,
Beitbridge RDC-Chamnngana Clinic,Ward 11,Beitbridge,,
Beitbridge RDC-Chaswingo Clinic,Ward 3,Beitbridge,,
Beitbridge RDC-Chikwarakwara RHC,Box 57,Beitbridge,,
Beitbridge RDC-Chituripasi RHC,Box 57,Beitbridge,,
Beitbridge RDC-Dite Health Rural Center,Box 57,Beitbridge,,
Beitbridge RDC-Dulibadzimu Clinic,Dulibadzimu Clinic,Beitbridge,,
Beitbridge RDC-Majini RHC,Box 57,Beitbridge,,
Beitbridge RDC-Makakavhule Clinic,Ward 6,Beitbridge,,
Beitbridge RDC-Makombe Clinic,Ward 3,Beitbridge,,
Beitbridge RDC-Masera Clinic,Ward 7,Beitbridge,,
Beitbridge RDC-Mtetengwe Clinic,Ward 6,Beitbridge,,
Beitbridge RDC-Nottingham RHC,Box 60,Beitbridge,,
Beitbridge RDC-Shabwe RHC,Shabwe RHC,Beitbridge,,
Beitbridge RDC-Shashi Clinic,Ward 8,Beitbridge,,
Beitbridge RDC-Swereki Clinic,Ward 9,Beitbridge,,
Beitbridge RDC-Tongwe Clinic,Ward 4,Beitbridge,,
Beitbridge RDC-Zezani Clinic,Ward 10,Beitbridge,,
Bellevue Pharmacy,105 gladstone roadbellevue shopping centre,Bulawayo,,
Belvedere Maternity Home,17Princess RoadBelvedere,Harare,,
Belvedere Medical Centre,189 Samora Machel Avenue,Harare,,
Belvedere Medical Centre Ambulance,2 Dendy Young DriveBelvedere,Harare,,
Belvedere Medical Centre Dental,2 Dendy Young Drive AvenueBelvedere,Harare,,
Belvedere Medical Centre Hospital,2 Dendy YoungBelvedere,Harare,,
Belvedere Medical Centre Laboratory,2 Dendy YoungBelvedere,Harare,,
Belvedere Medical Centre WUA,549 Arcturus Road,Harare,,
Belvedere Medical Centre-Ultrasound,189Samora Machel AvenueBelvedere,Harare,,
Belvedere Pharmacy,189 Samora Machel Avenue,Harare,,
Belvedere Pharmacy - Long Chen Plaza,Shops 6-7 Longcheng PlazaBelvedere,Harare,,
Belvedere Pharmacy-Pathway,"Stand 14575, Old Year 2",Kadoma,,
Belvedere Technical Teacher's College Clinic,1 Harvard RoadBelvedere,Harare,,
Benjimed Health Clinic,23 Tashinga StreetDombotombo,Marondera,,
Berejena Mission Hospital,Berejena VillageChivi District,Masvingo,,
Bernito Pharmacy,Stand 57 / 58 Central Avenue,Mvuma,,
Bertino Pharmacy,Stand No 57 Central Avenue,Mvuma,,
Bestzone Pharmacy,199A Mainstreet,Marondera,,
Bestzone Pharmacy,Shop 1 Gorlon House 7 Jason Moyo Avenue,Harare,,
Bestzone Pharmacy,Stand Number 1931 Bindura CBD,Bindura,,
Bestzone Pharmacy,749 Border Gezi Avenue,Bindura,,
Bestzone Pharmacy,9 Nelson Mandela AveCnr Chinhoyi Street,Harare,,
Bestzone Pharmacy,141 Mbuya Nehanda Street Cnr Jason Moyo Avenue,Harare,,
Bestzone Pharmacy - 56 Nelson Mandela Av,56 Nelson Mandela,Harare,,
Bestzone Pharmacy - Angwa,70 Robert Mugabe Rd Cnr Angwa Street,Harare,,
Bestzone Pharmacy - Harare,52 Robert Mugabe Road Corner Julius Nyerere Way,Harare,,
Bestzone Pharmacy - Kadoma,"N8 - N9 Sam Levy Complex, Herbert Chitepo Street",Kadoma,,
Bestzone Pharmacy- Kwame Nkrumah,111 Kwame Nkrumah Ave,Harare,,
Bestzone Pharmacy- Samora Machel,35 Samora Machel Avenue,Harare,,
Beta Eyes,Westend Clinic Suite 11,Harare,,
Beta Eyes Surgery,1074Masotcha Ndlovu Way/6th AvenueWaterfalls,Harare,,
Betacare Pharmacy,318 Beatrice Township,Beatrice,,
Betacare Pharmacy,3/8Beatrice Township,Beatrice,,
Betahealth Dental Surgery,17 Wakefield RoadAvondale,Harare,,
Betahealth Dental Surgery,38 Angwa Street,Harare,,
Bethany Clinic,37 Fred Jammerson Street,Karoi,,
Bethel Clinic,13115 Eastview Phase 3 Calidonia,Goromonzi,,
Bethel Clinic Laboratory - Gweru,Number 736th Street,Gweru,,
Bethel Pharmacy,31 Magamba Way,Chinhoyi,,
Bethel Private Clinic,73 6th Street,Gweru,,
Bethrapha Physiotherapy Clinic,11 Jameson Street,Mutare,,
Better Life Pharmacy,3086/11Mbizo,Kwekwe,,
Beverly Medical Centre,10 Magamba Way Suite 2,Chinhoyi,,
Beyuo's Dental Surgery,Suite 2 37 Baines Medical Centre,Harare,,
Bhaskar Orthodontics & Family Dentistry,47 Churchill Avenue,Harare,,
"Bikita Minerals, Masarasara Clinic",Glen clova Farm,Masvingo,,
Bikita RDC-Chitasa Clinic,Ward 7P.Bag 594,Nyika,,
Bikita RDC-Gangare Clinic,Ward 21P.Bag 594,Nyika,,
