facility name,physical address,city
Avenues Clinic Laboratory,139 Josiah Chinamano Avenue And Corner Fifth,Harare
Avenues Clinic Pharmacy-Chinamano,Shop 3 Chinamano Cornercnr 2Nd Street & Chinamano Avenue,Harare
Avenues Eye Centre,9 Windermere Lodge Corner Mazowe Street / Fife Avenue,Harare
Avenues Women'S Clinic - Dr Ngwaru Surgery,33 Central Avenue,Harare
Avicenna Medical Centre,127 Borrowdale Roadgunhill,Harare
Avicenna Physiotherapy Clinic,127 Ruth Taylor Roadgunhillborrowdale,Harare
Avicenna Specialist Centre,125Borrowdale Roadgunhill,Harare
Avila Mission Hospital,Avila Mission Hospitalp.Bag 2009,Nyanga
Avlone Pharmacy,7503 Muzimba Shopping Centrecoldstream,Chinhoyi
Avmed Health Pharmacy,1085 7Th Street,Chipinge
Avonbio Distributors,4 Dacoute Drive Avonlea,Harare
Avondale I Care (Pvt) Ltd,Shop 4 Avondale Shopping Centre,Harare
Avondale I Care (Pvt) Ltd,103 The Chase Mt Pleasant,Harare
Avondale Urgent Care - Dental Unit,11A Lincoln Avenue,Harare
Avondale Urgent Care Clinic,11A Linclon Avenueavondale,Harare
Avonlea Dental Clinic,Shop 1 Colesbury Paradeavonlea Shops,Harare
Ayrshire Mine Clinic,Ayrshire Mine,Banket
Azanza Health,32 Josiah Tongogara Avenuemilton Park,Harare
Azanza Telehealth,32Josiah Tongogara,Harare
Azanza Telehealth X-Ray Unit,32 Josiah Tongogara,Harare
Azanza Wellness Centre,32Josiah Tongogara Street Milton Park,Harare
B Braun Dialysis Clinic,57 Baines Avenue,Harare
B Braun Haemodialysis Centre,127A Fife Street,Bulawayo
B Braun Mutare Dialysis,Mutare Medical Centre123/5Herbert Chitepo Street,Mutare
B. Braun Chinhoyi Dialysis Unit,"Shop Number 3, 5336 David Guzuzu Street",Chinhoyi
B.A.V.Ncube Surgery,37R.Mugabe Way,Bulawayo
B.Braun Zimbabwe (Pvt)Ltd,32M&Nbluffhill Industrial Park,Harare
B.R Pharmacy,118 Athol Buildingcorner 10Th/Fourth Street,Harare
Baines Avenue Clinic,66Baines Avenue,Harare
Baines Avenue Clinic T/A Mazowe Street Paediatric Hospital,Number 11 Mazowe Street,Harare
Baines Avenue Retail Pharmacy,66 Baines Avenue,Harare
Baines Dental Clinic,19 Baines Avenue Corner Blakiston,Harare
Baines Family And Travel Clinic,53 Baines Avenue,Harare
Baines Imaging Group,123 Herbert Chitepo,Mutare
Baines Imaging Group - Byo Imaging,70 Robert Mugabe Way,Bulawayo
Baines Imaging Group - Jv Avenues Clinic,Cnr Mazowe Street / Baines Avenue,Harare
Baines Imaging Group Medical Centre,52 Baines Avenuecnr Baines / Leopold Takawira,Harare
Baines Intercare Medical Centre,15 Baines Avenues,Harare
Baines Occupational Health Services,"Suite 1, Glendyne Court 12Th Avenue & J Tongogara",Bulawayo
Baines Occupational Health Services,"Suite 1, 22A-7Th Street",Gweru
Baines Occupational Health Services,"27 Baines Avenue, Suite 2 Dutton Court",Harare
Baines Pathology,52 Baines Avenue,Harare
Baines Pathology,52 Josiah Chinamano Avenues,Harare
Baines Pharmacy,"20 Mimosa Flats, 19 Baines Avenue",Harare
Baines Physio Clinic,26 Baines Avenue,Harare
Baines Specialist Children'S Clinic,53 Baines Avenue,Harare
Ballantyne Park Pharmacy,"Shop 11, Ballantyne Park Square Wellburn Drive Borrowdale",Harare
Ballu Pharmacy,52Corner 4Th Street And Dejager Avenue,Marondera
Ballu Pharmacy - Yellow City,2416 Nungu Extensionchitepo,Marondera
Balm Medical Laboratories,3Elnat Building 5 J.Tongogara Road,Bulawayo
Balm Of Gilead Dental Clinic,4 Elnat Flat 59 Josiah Tongogara,Bulawayo
Balm Of Gilead Medical And Orthopaedic,4Elnat Flat59 Josiah Tongogara Corner 5Th Avenue,Bulawayo
Balm Of Gilead Medical Clinic,"2 Elnat Flat, 59 Josiah Tongogaracnr 5Th Avenue & Tongogara",Bulawayo
Balm Of Hope Maternity,21 Union Street,Kadoma
Balm Of Hope Surgery,4742Light Industrywaverly,Kadoma
Balm Pharmacy,"Number 3631 Masotsha Ndhlovu Way, Prospect",Harare
Balm Surgery,"Stand Number 5144, Warren Park D Shops",Harare
Balsam Pharmacy,Shop A 3207 Chiwororo Business Centre,Masvingo
Bambanani New Start Centre,4Th Floorhaddon Sly Building8Th Avenue,Bulawayo
Bambanani New Start Centre,90 Samuel Parirenyatwa Street,Bulawayo
Bandason C. Surgery,123 Baines Avenue,Harare
Bank Street Pharmacy,101 Chinhoyi Street,Harare
Banket District Hospital,Court Road,Banket
Banket Family Practice,232 Stations Road,Banket
Banket Kuwadzana Surgery,748Kuwadzana Township,Banket
Banket Medical Imaging- Xray Unit,232 Station Road,Banket
Banket Rdc-Dzivarasekwa Extension Clinic,P.O.Box 5Dzivarasekwa,Harare
Banket-Mart Pharmacy,Shop No. 2 Stand No. 20Kuwadzana Shopping Centre,Banket
Baobab Surgery,1270Baobab North Extension,Hwange
Barbicol Pharmacy,294 Ed Mnangagwa Road,Masvingo
Barbourfields Pharmacy,Shop 208Barbourfield Shopping Centre,Bulawayo
Barry Nell Pharmacy,264A Josiah Tongogara,Masvingo
Bata Shoe Company Clinic,Stand 512/522 Heavy Industrial Sitesbulawayo Road,Gweru
Batsi Pharmacy,27473 Nyamauru Dangamvura,Mutare
Batsirai Medical Center,2058Maketa Herdes,Chegutu
Batsiranayi Healthcare Services,1178 Hintonville,Chegutu
Bb & T Medical & Dental Surgeries,Kalmic House Corner Main Street / Appleby,Bindura
Bc Dental Surgery-Bulawayo,Suite 115Medical Chambers 94-98 Jnm Street,Bulawayo
Beacon Pharmacy,845 Mubairo Road,Harare
Beamed Primary Care Clinic,86 Kaguvi Street,Harare
Beatrice Rdc-Acton Reynolds Rural Health Center,Acton Reynolds Resettlement Areabox 88,Beatrice
Beatrice Rdc-Ringa Rural Health Center,Ringa Resettlement Areabox 141,Beatrice
Beautalin Health Dental Clinic,95 Marwede Road Glaudina,Harare
Beautalin Radiology,95Marwede Road Glaudina,Harare
Beautalin Radiology- Xray Unit,95 Marwede Roadglaudina,Zvimba
Beersheba Mission Clinic,Beersheba Mission Clinicbox 354,Norton
Beit Border 24Hr Pharmacy,4722Cdulibadzimu Township,Beitbridge
Beit Pharmacy,1 Beit Avenuemilton Park,Harare
Beitbridge District Hospital,175Dulivhazimu,Beitbridge
Beitbridge Pharmacy,170 Dulibadzimu Township,Beitbridge
Beitbridge Pharmacy,2224 Tshithaudzemashavire,Beitbridge
Beitbridge Rdc-Chamnngana Clinic,Ward 11,Beitbridge
Beitbridge Rdc-Chaswingo Clinic,Ward 3,Beitbridge
Beitbridge Rdc-Chikwarakwara Rhc,Box 57,Beitbridge
Beitbridge Rdc-Chituripasi Rhc,Box 57,Beitbridge
Beitbridge Rdc-Dite Health Rural Center,Box 57,Beitbridge
Beitbridge Rdc-Dulibadzimu Clinic,Dulibadzimu Clinic,Beitbridge
Beitbridge Rdc-Majini Rhc,Box 57,Beitbridge
Beitbridge Rdc-Makakavhule Clinic,Ward 6,Beitbridge
Beitbridge Rdc-Makombe Clinic,Ward 3,Beitbridge
Beitbridge Rdc-Masera Clinic,Ward 7,Beitbridge
Beitbridge Rdc-Mtetengwe Clinic,Ward 6,Beitbridge
Beitbridge Rdc-Nottingham Rhc,Box 60,Beitbridge
Beitbridge Rdc-Shabwe Rhc,Shabwe Rhc,Beitbridge
Beitbridge Rdc-Shashi Clinic,Ward 8,Beitbridge
Beitbridge Rdc-Swereki Clinic,Ward 9,Beitbridge
Beitbridge Rdc-Tongwe Clinic,Ward 4,Beitbridge
Beitbridge Rdc-Zezani Clinic,Ward 10,Beitbridge
Bellevue Pharmacy,105 Gladstone Roadbellevue Shopping Centre,Bulawayo
Belvedere Maternity Home,17Princess Roadbelvedere,Harare
Belvedere Medical Centre,189 Samora Machel Avenue,Harare
Belvedere Medical Centre Ambulance,2 Dendy Young Drivebelvedere,Harare
Belvedere Medical Centre Dental,2 Dendy Young Drive Avenuebelvedere,Harare
Belvedere Medical Centre Hospital,2 Dendy Youngbelvedere,Harare
Belvedere Medical Centre Laboratory,2 Dendy Youngbelvedere,Harare
Belvedere Medical Centre Wua,549 Arcturus Road,Harare
Belvedere Medical Centre-Ultrasound,189Samora Machel Avenuebelvedere,Harare
Belvedere Pharmacy,189 Samora Machel Avenue,Harare
Belvedere Pharmacy - Long Chen Plaza,Shops 6-7 Longcheng Plazabelvedere,Harare
Belvedere Pharmacy-Pathway,"Stand 14575, Old Year 2",Kadoma
Belvedere Technical Teacher'S College Clinic,1 Harvard Roadbelvedere,Harare
Benjimed Health Clinic,23 Tashinga Streetdombotombo,Marondera
Berejena Mission Hospital,Berejena Villagechivi District,Masvingo
Bernito Pharmacy,Stand 57 / 58 Central Avenue,Mvuma
Bertino Pharmacy,Stand No 57 Central Avenue,Mvuma
Bestzone Pharmacy,199A Mainstreet,Marondera
Bestzone Pharmacy,Shop 1 Gorlon House 7 Jason Moyo Avenue,Harare
Bestzone Pharmacy,Stand Number 1931 Bindura Cbd,Bindura
Bestzone Pharmacy,749 Border Gezi Avenue,Bindura
Bestzone Pharmacy,9 Nelson Mandela Avecnr Chinhoyi Street,Harare
Bestzone Pharmacy,141 Mbuya Nehanda Street Cnr Jason Moyo Avenue,Harare
Bestzone Pharmacy - 56 Nelson Mandela Av,56 Nelson Mandela,Harare
Bestzone Pharmacy - Angwa,70 Robert Mugabe Rd Cnr Angwa Street,Harare
Bestzone Pharmacy - Harare,52 Robert Mugabe Road Corner Julius Nyerere Way,Harare
Bestzone Pharmacy - Kadoma,"N8 - N9 Sam Levy Complex, Herbert Chitepo Street",Kadoma
Bestzone Pharmacy- Kwame Nkrumah,111 Kwame Nkrumah Ave,Harare
Bestzone Pharmacy- Samora Machel,35 Samora Machel Avenue,Harare
Beta Eyes,Westend Clinic Suite 11,Harare
Beta Eyes Surgery,1074Masotcha Ndlovu Way/6Th Avenuewaterfalls,Harare
Betacare Pharmacy,318 Beatrice Township,Beatrice
Betacare Pharmacy,3/8Beatrice Township,Beatrice
Betahealth Dental Surgery,17 Wakefield Roadavondale,Harare
Betahealth Dental Surgery,38 Angwa Street,Harare
Bethany Clinic,37 Fred Jammerson Street,Karoi
Bethel Clinic,13115 Eastview Phase 3 Calidonia,Goromonzi
Bethel Clinic Laboratory - Gweru,Number 736Th Street,Gweru
Bethel Pharmacy,31 Magamba Way,Chinhoyi
Bethel Private Clinic,73 6Th Street,Gweru
Bethrapha Physiotherapy Clinic,11 Jameson Street,Mutare
Better Life Pharmacy,3086/11Mbizo,Kwekwe
Beverly Medical Centre,10 Magamba Way Suite 2,Chinhoyi
Beyuo'S Dental Surgery,Suite 2 37 Baines Medical Centre,Harare
Bhaskar Orthodontics & Family Dentistry,47 Churchill Avenue,Harare
"Bikita Minerals, Masarasara Clinic",Glen Clova Farm,Masvingo
Bikita Rdc-Chitasa Clinic,Ward 7P.Bag 594,Nyika
Bikita Rdc-Gangare Clinic,Ward 21P.Bag 594,Nyika
Bikita Rdc-Gava Clinic,Ward 1P.Bag 594,Nyika
Bikita Rdc-Hozvi Clinic,Ward 10P.Bag 594,Nyika
Bikita Rdc-Marozva Clinic,Ward 32P.Bag 594,Nyika
Bikita Rdc-Mungezi Clinic,Ward 23P.Bag 594,Nyika
Bikita Rdc-Murwira Clinic,Ward 19,Nyika
Bikita Rdc-Mutikizizi Clinic,Ward 6P.Bag 594,Nyika
Bikita Rdc-Muvava Clinic,Ward 25P.Bag 594,Nyika
Bikita Rdc-Negovanhu Clinic,Ward 14P.Bag 594,Nyika
Bikita Rdc-Odzi Clinic,Ward 3P.Bag 594,Nyika
Bikita Rdc-Pfupajena Clinic,Ward 5P.Bag 594,Nyika
Bindura Dental Surgery,106 York Street,Bindura
Bindura Family Clinic,Stand Number 1924New Commercial Stands,Bindura
Bindura Medi Centre,Stand 76 Cnr Main Street/ Second Street,Bindura
Bindura Medi Clinic Radiology,Stand No.76Cnr First/Second Street,Bindura
Bindura Medi-Clinic,76 Cnr Main And Second Street,Bindura
Bindura Medi-Clinic Dental Surgery,76 Cnr Street/2Nd Street,Bindura
Bindura Municiplity -Chiwaridzo Polyclinic,Chiwaridzo Roadchiwaridzo,Bindura
Bindura Municiplity-Chipadze Clinic,1 Hwakanandi Street Chipadze,Bindura
